WhsAgeReviewTempID,DateTimeEntered,AgeReadingID,FishID,Purpose,Reader,envAlphaID,envNumberID,Reading,ReadingMethod,ReadAge,Readability,EdgeTranslucency,MIncrRatio,Length,Sex,Location,CalYear,Area,Month,ImageCode,ImageCode_m,Scale,Otolith1,Otolith1Value,Otolith1Note,Otolith1Arag,Otolith1Debri,Otolith1Missing,Otolith2,Otolith2Value,Otolith2Note,Otolith2Condition,Otolith2Arag,Otolith2Debri,Otolith3,Otolith3Value,Otolith3Note,Otolith3Condition,Otolith3Arag,Otolith3Debri,Otolith3Missing,Project,TaxonCode,CommonName,ScientificName,ComputerCode,ComputerScale,ReviewDate,Sort,ReadersNote,SampleDate,ReadNoNote,AgeReadingTypeID,LocationID,F1stRing,S2ndRing,S2ndLastToLast,LastToEdge,YearEntered,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
12306736,10/08/2017 11:50,133860,6255094,W_O_AgeReading, Hayden Schilling,Psa,2,1,MIncrRingCountOfOtolith,1,2,w,0.282404703,28.1,Female,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_2_W_O__1_1.jpg,Images/Pom_sal(Psa)_2_W_O__1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.583852455,0.729692085,2.583852455,0.729692085,2017,2.583852455,0.729692085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306737,10/08/2017 11:51,133861,6255095,W_O_AgeReading, Hayden Schilling,Psa,3,1,MIncrRingCountOfOtolith,1,2,m,0.093352282,29.2,Male,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_3_W_O__1_1.jpg,Images/Pom_sal(Psa)_3_W_O__1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,3.347354895,0.31248322,3.347354895,0.31248322,2017,3.347354895,0.31248322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306738,10/08/2017 11:52,133862,6255096,W_O_AgeReading, Hayden Schilling,Psa,4,1,MIncrRingCountOfOtolith,1,2,w,0.233735438,31.1,Female,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_4_W_O__1_1.jpg,Images/Pom_sal(Psa)_4_W_O__1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.668500725,0.623723186,2.668500725,0.623723186,2017,2.668500725,0.623723186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306739,10/08/2017 11:53,133863,6255097,W_O_AgeReading, Hayden Schilling,Psa,5,1,MIncrRingCountOfOtolith,0,3,w,0.464600082,26.9,Male,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_5_W_O__1_1.jpg,Images/Pom_sal(Psa)_5_W_O__1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.672831177,,,2.672831177,2017,2.672831177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306740,10/08/2017 11:53,133864,6255098,W_O_AgeReading, Hayden Schilling,Psa,6,1,MIncrRingCountOfOtolith,1,3,m,0.159663348,27.4,Male,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_6_W_O__1_1.jpg,Images/Pom_sal(Psa)_6_W_O__1_1_m.jpg,112,S ,0.01986,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.276274343,0.363437583,2.276274343,0.363437583,2017,2.276274343,0.363437583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306741,10/08/2017 11:54,133865,6255099,W_O_AgeReading, Hayden Schilling,Psa,7,1,MIncrRingCountOfOtolith,1,2,m,0.293192021,29.4,Female,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_7_W_O__1_1.jpg,Images/Pom_sal(Psa)_7_W_O__1_1_m.jpg,112,S ,0.02182,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.180943105,0.639435116,2.180943105,0.639435116,2017,2.180943105,0.639435116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306742,10/08/2017 11:55,133866,6255100,W_O_AgeReading, Hayden Schilling,Psa,8,1,MIncrRingCountOfOtolith,1,2,m,0.167183658,30.3,Female,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_8_W_O__1_1.jpg,Images/Pom_sal(Psa)_8_W_O__1_1_m.jpg,112,S ,0.02402,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.614414327,0.43708735,2.614414327,0.43708735,2017,2.614414327,0.43708735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306743,10/08/2017 11:55,133867,6255101,W_O_AgeReading, Hayden Schilling,Psa,9,1,MIncrRingCountOfOtolith,1,2,m,0.186028324,27.1,Male,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_9_W_O__1_1.jpg,Images/Pom_sal(Psa)_9_W_O__1_1_m.jpg,112,S ,0.01976,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.402110897,0.446860664,2.402110897,0.446860664,2017,2.402110897,0.446860664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306744,10/08/2017 11:56,133868,6255102,W_O_AgeReading, Hayden Schilling,Psa,10,1,MIncrRingCountOfOtolith,1,2,m,0.231971414,32.4,Female,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_10_W_O__1_1.jpg,Images/Pom_sal(Psa)_10_W_O__1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.834254665,0.657466061,2.834254665,0.657466061,2017,2.834254665,0.657466061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306745,10/08/2017 11:56,133869,6255103,W_O_AgeReading, Hayden Schilling,Psa,11,1,MIncrRingCountOfOtolith,1,2,w,0.477584802,30,Male,SYDNEY,2014,33 Deg. - 34 Deg. Latitude (Zone 6),9,Images/Pom_sal(Psa)_11_W_O__1_1.jpg,Images/Pom_sal(Psa)_11_W_O__1_1_m.jpg,112,S ,0.02529,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,2/09/2014 0:00,,5340,620,2.177656603,1.040015698,2.177656603,1.040015698,2017,2.177656603,1.040015698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
